Acolyte,2,,Insight,Religion,Shelter of the Faithful:As an acolyte$ you command the respect of those who share your faith$ and you can perform the religious ceremonies of your deity. You and your adventuring companions can expect to receive free healing and care at a temple$ shrine$ or other established presence of your faith$ though you must provide any material components needed for spells. Those who share your religion will support you (but only you) at a modest lifestyle.<>You might also have ties to a specific temple dedicated to your chosen deity or pantheon$ and you have a residence there. This could be the temple where you used to serve$ if you remain on good terms with it$ or a temple where you have found a new home. While near your temple$ you can call upon the priests for assistance$ provided the assistance you ask for is not hazardous and you remain in good standing with your temple.,15,a holy symbol;a prayer book or prayer wheel;5 sticks of incense;vestments;a set of common clothes
Anthropologist,2,,Insight,Religion,Cultural Chameleon:Before becoming an adventurer$ you spent much of your adult life away from your homeland$ living among people different from your kin. You came to understand these foreign cultures and the ways of their people$ who eventually treated you as one of their own. One culture had more of an influence on you than any other$ shaping your beliefs and customs. Choose a race whose culture you've adopted.;Adept Linguist:You can communicate with humanoids who don't speak any language you know. You must observe the humanoids interacting with one another for at least 1 day$ after which you learn a handful of important words$ expressions$ and gestures-- enough to communicate on a rudimentary level.,10,A leather-bound diary;a bottle of ink;an ink pen;a set of traveler's clothes;one trinket of special significance
Archaeologist,1,cartographer's tools or navigator's tools,History,Survival,Dust Digger:Prior to becoming an adventurer$ you spent most of your young life crawling around in the dust$ pilfering relics of questionable value from crypts and ruins. Though you managed to sell a few of your discoveries and earn enough coin to buy proper adventuring gear$ you have held onto an item that has great emotional value to you. Roll on the Signature Item table to see what you have$ or choose an item from the table.<ol><li>10-foot pole</li><li>Medallion</li><li>Crowbar</li><li>Shovel</li><li>Hat</li><li>Sledgehammer</li><li>Hooded lantern</li><li>Whip</li></ol>;Historical Knowledge:When you enter a ruin or dungeon$ you can correctly ascertain its original purpose and determine its builders$ whether those were dwarves$ elves$ humans$ yuan-ti$ or some other known race. In addition$ you can determine the monetary value of art objects more than a century old.,25,a wooden case containing a map to a ruin or dungeon;a bullseye lantern;a miner's pick;a set of traveler's clothes;a shovel;a two-person tent;a trinket recovered from a dig site
Charlatan,0,disguise kit;forgery kit,Deception,Sleight of hand,False Identity:You have created a second identity that includes documentation$ established acquaintances$ and disguises that allow you to assume that persona. Additionally$ you can forge documents including official papers and personal letters$ as long as you have seen an example of the kind of document or the handwriting you are trying to copy.;Favorite Schemes:Every charlatan has an angle they use in preference to other schemes. Choose a favorite scam or roll on the table below.<ol><li>I cheat at games of chance.</li><li>I shave coins or forge documents.</li><li>I insinuate myself into people's lives to prey on their weakness and secure their fortunes.</li><li>I put on new identities like clothes.</li><li>I run sleight-of-hand cons on street corners.</li><li>I convince people that worthless junk is worth their hard-earned money.</li></ol>,15,a set of fine clothes;a disguise kit;tools of the con of your choice (ten stoppered bottles filled with colored liquid or a set of weighted dice or a deck of marked cards or a signet ring of an imaginary duke)
City Watch,2,,Athletics,Insight,Watcher's Eye:Your experience in enforcing the law$ and dealing with lawbreakers$ gives you a feel for local laws and criminals. You can easily find the local outpost of the watch or a similar organization$ and just as easily pick out the dens of criminal activity in a community$ although you're more likely to be welcome in the former locations rather than the latter.,10,a uniform in the style of your unit and indicative of your rank;a horn with which to summon help;a set of manacles
Cloistered Scholar,2,,History,Choose one from among Arcana$ Nature$ and Religion,,10,the scholar's robes of your cloister;a writing kit (small pouch with a quill$ ink$ folded parchment$ and a small penknife);a borrowed book on the subject of your current study
Courtier,2,,Insight,Persuasion,Court Functionary:Your knowledge of how bureaucracies function lets you gain access to the records and inner workings of any noble court or government you encounter. You know who the movers and shakers are$ whom to go to for the favors you seek$ and what the current intrigues of interest in the group are.,5,a set of fine clothes
Criminal,0,a gaming set;thieves' tools,Deception,Stealth,Criminal Contact:You have a reliable and trustworthy contact who acts as your liaison to a network of other criminals. You know how to get messages to and from your contact$ even over great distances-- specifically$ you know the local messengers$ corrupt caravan masters$ and seedy sailors who can deliver messages for you.;Criminal Speciality:There are many kinds of criminals$ and within a thieves' guild or similar criminal organization$ individual members have particular specialties. Even criminals who operate outside of such organizations have strong preferences for certain kinds of crimes over others. Choose the role you played in your criminal life$ or roll on the table below.<ol><li>Blackmailer</li><li>Burglar</li><li>Enforcer</li><li>Fence</li><li>Highway Robber</li><li>Hired Killer</li><li>Pickpocket</li><li>Smuggler</li></ol>,15,a crowbar;a set of dark common clothes including a hood
Entertainer,0,disguise kit;a musical instrument,Acrobatics,Performance,By Popular Demand:You can always find a place to perform$ usually in an inn or tavern but possibly with a circus$ at a theater$ or even in a noble's court. At such a place$ you receive free lodging and food of a modest or comfortable standard (depending on the quality of the establishment)$ as long as you perform each night. In addition$ your performance makes you something of a local figure. When strangers recognize you in a town where you have performed$ they typically take a liking to you.;Entertainer Routines:A good entertainer is versatile$ spicing up every performance with a variety of different routines. Choose one to three routines or roll on the table below to define your expertise as an entertainer.<ol><li>Actor</li><li>Dancer</li><li>Fire-eater</li><li>Jester</li><li>Juggler</li><li>Instrumentalist</li><li>Poet</li><li>Singer</li><li>Storyteller</li><li>Tumbler</li></ol>,10,a musical instrument;the favor of an admirer (love letter or lock of hair or trinket);a costume
Faceless,1,disguise kit,Deception,Intimidation,Faceless Persona:A faceless character adventures behind a mask of a public persona. This persona is as natural to them as their hidden$ true face$ but it disguises their identity. Roll on the Faceless Persona table to determine your persona$ or work with the DM to create a persona that's unique to your character and suits the tone of your game.<ol><li>A flamboyant spy or brigand</li><li>The incarnation of a nation or people</li><li>A scoundrel with a masked guise</li><li>A vengeful spirit</li><li>The manifestation of a deity or your faith</li><li>One whose beauty is greately accented using makeup</li><li>An impersonation of another hero</li><li>The embodiment of a school of magic</li><li>A warrior with distinctive armor</li><li>A disguise with animalistic or monstrous characteristics$ meant to inspire fear</li></ol>;Dual Personalities:Most of your fellow adventurers and the world know you as your persona. Those who seek to learn more about you-- your weakness$ your origins$ your purpose-- find themselves stymied by your disguise. Upon donning a disguise and behaving as your persona$ you are unidentifiable as your true self. By removing your disguise and revealing your true face$ you are no longer identifiable as your persona. This allows you to change appearances between your two personalities as often as you wish$ using one to hide the other or serve as convenient camouflage. However$ should someone realize the connection betwen your persona and your true self$ your deception might lose its effectiveness.,10,a disguise kit; a costume
Faction Agent,2,,Insight,one Intelligence$ Wisdom$ or Charisma skill of your choice$ as appropriate to your faction,Safe Haven:As a faction agent$ you have access to a secret network of supporters and operatives who can provide assistance on your adventures. You know a set of secret signs and passwords you can use to identify such operatives$ who can provide you with access to a hidden safe house$ free room and board$ or assistance in finding information. These agents never risk their lives for you or risk revealing their true identities.;Defining Event:You previously pursued a simple profession among the peasantry$ perhaps as a farmer$ miner$ servant$ shepherd$ woodcutter$ or gravedigger. But something happened that set you on a different path and marked you for greater things. Choose or randomly determine a defining event that marked you as a hero of the people.<ol><li>I stood up to a tyrant's agents.</li><li>I saved people during a natural disaster.</li><li>I stood alone against a terrible monster.</li><li>I stole from a corrupt merchant to help the poor.</li><li>I led a militia to fight off an invading army.</li><li>I broke into a tyrant's castle and stole weapons to arm the people.</li><li>I trained the peasantry to use farm implements as weapons against a tyrant's soldiers.</li><li>A lord rescinded an unpopular decree after I led a symbolic act of protect against it.</li><li>A celestial$ fey$ or similar creature gave me a blessing or revealed my secret origin.</li><li>Recruited into a lord's army$ I rose to leadership and was commended for my heroism.</li></ol>,15,badge or emblem of your faction;a copy of a seminal faction text (or a code-book for a covert faction);a set of common clothes
