class name,subclass name,base name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,spellcasting,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,sk,0,1,2,3,4,5,6,7,8,9,
Artificer,Alchemist,alchemist,,,Tool Proficiency:When you adopt this specialization at 3rd level$ you gain proficiency with alchemist's supplies. If you already have this proficiency$ you gain proficiency with one other type of artisan's tools of your choice.;Alchemist Spells:Starting at 3rd level$ you always have certain spells prepared after you reach particular levels in this class. These spells count as artificer spells for you$ but they don't count against the number of artificer spells you prepare.<br>At 3rd level$ you learn the spells <i>healing word</i> and <i>ray of sickness</i>.;Elemental Elixer:Beginning at 3rd level$ whenever you finish a long rest$ you can magically produce an experimental elixir in an empty flask you touch. Roll on the Experimental Elixir table for the elixir's effect$ which is triggered when someone drinks the elixir. As an action$ a creature can drink the elixir or administer it to an incapacitated creature.<br>Creating an experimental elixir requires you to have alchemist supplies on your person$ and any elixir you create with this feature lasts until it is drunk or until the end of your next long rest.<br>When you reach certain levels in this class$ you can make more elixirs at the end of a long rest~ two at 6th level and three at  15th level. Roll for each elixir's effect separately. Each elixir requires its own flask.<br>You can create additional experimental elixirs by expending a spell slot of 1st level or higher for each one. When you do so$ you use your action to create the elixir in an empty flask you touch$ and you choose the elixir's effect from the Experimental Elixir table.<ol><li>Healing. The drinker regains a number of hit points equal to 2d4 + your Intelligence modifier.</li><li>Swiftness. The drinker's walking speed increases by 10 feet for 1 hour.</li><li>Resilience. The drinker gains a +1 bonus to AC for 10 minutes.</li><li>Boldness. The drinker can roll a d4 and add the number rolled to every attack roll and saving throw they make for the next minute.</li><li>Flight. The drinker gains a flying speed of 10 feet for 10 minutes.</li><li>Transformation. The drinker's body is transformed as if by the alter self spell. The drinker determines the transformation caused by the spell$ the effects of which last for 10 minutes.</li></ol>,,Alchemist Spell:At 5th level$ you learn the spells <i>flaming sphere</i> and <i>Melf's acid arrow</i>.;Alchemical Savant:At 5th level$ you develop masterful command of magical chemicals$ enhancing the healing and damage you create through them. Whenever you cast a spell using your alchemist's supplies as the spellcasting focus$ you gain a bonus to one roll of the spell. That roll must restore hit points or be a damage roll that deals acid$ fire$ necrotic$ or poison damage$ and the bonus equals your Intelligence modifier (minimum of +1).,Experimental Elixir:At 6th level$ you can create 2 elixirs at the end of a long rest.,,,Alchemist Spell:At 9th level$ you learn the spells <i>gaseous form</i> and <i>mass healing word</i>.;Restorative Reagents:Starting at 9th level$ you can incorporate restorative reagents into some of your works~<ul><li>Whenever a creature drinks an experimental elixir you created$ the creature gains temporary hit points equal to 2d6 +your Intelligence modifier (minimum of 1 temporary hit point).</li><li>You can cast lesser restoration without expending a spell slot and without preparing the spell$ provided you use alchemist's supplies as the spellcasting focus. You can do so a number of times equal to your Intelligence modifier (minimum of once)$ and you regain all expended uses when you finish a long rest.</li></ul>,,,,Alchemist Spell:At 13th level$ you learn the spells <i>blight</i> and <i>death ward</i>.,,Experimental Elixir:At 15th level$ you can create 3 elixirs at the end of a long rest.;Chemical Mastery:By 15th level$ you have been  exposed to so many chemicals that they pose little risk to you$ and you can use them to quickly end certain ailments~<ul><li>You gain resistance to acid damage and poison damage$ and you are immune to the poisoned condition.</li><li>You can cast greater restoration and heal without expending a spell slot$ without preparing the spell$ and without material components$ provided you use alchemist's supplies as the spellcasting focus. Once you cast either spell with this feature$ you can't cast that spell with it again until you finish a long rest.</li></ul>,,Alchemist Spell:At 17th level$ you learn the spells <i>cloudkill</i> and <i>raise dead</i>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificer,Artillerist,artillerist,,,Tool Proficiency:When you adopt this specialization at 3rd level$ you gain proficiency with woodcarver's tools. If you already have this proficiency$ you gain proficiency with one other type of artisan's tools of your choice.;Artillerist Spells:Starting at 3rd level$ you always have certain spells prepared after you reach particular levels in this class. These spells count as artificer spells for you$ but they don't count against the number of artificer spells you prepare.<br>At 3rd level$ you know the spells <i>shield</i> and <i>thunderwave</i>.;Eldritch Cannon:At 3rd level$ you learn how to create a magical cannon. Using woodcarver's tools or smith's tools$ you can take an action to magically create a Small or Tiny eldritch cannon in an unoccupied space on a horizontal surface within 5 feet of you. A Small eldritch cannon occupies its space$ and a Tiny one can be held in one hand.<br>Once you create a cannon$ you can't do so again until you finish a long rest or until you expend a spell slot of 1st level or higher. You can have only one cannon at a time and can't create one while your cannon is present.<br>The cannon is a magical object. Regardless of size$ the cannon has an AC of 18 and a number of hit points equal to five times your artificer level. It is immune to poison damage$ psychic damage$ and all conditions. If it is forced to make an ability check or a saving throw$ treat all its ability scores as 10 (+0). If the mending spell is cast on it$ it regains 2d6 hit points. It disappears if it is reduced to 0 hit points or after 1 hour. You can dismiss it early as an action.<br>When you create the cannon$ you determine its appearance and whether it has legs. You also decide which type it is$ choosing from the options on the Eldritch Cannons table. On each of your turns$ you can take a bonus action to cause the cannon to activate if you are within 60 feet of it. As part of the same bonus action$ you can direct the cannon to walk or climb up to 15 feet to an unoccupied space$ provided it has legs.<br><b>Eldritch Cannons</b><br><b>Flamethrower</b><br>The cannon exhales fire in an adjacent 15-foot cone that you designate. Each creature in that area must make a Dexterity saving throw against your spell save DC$ taking 2d8 fire damage on a failed save or half as much damage on a successful one. The fire ignites any flammable objects in the area that aren't being worn or carried.<br><b>Force Ballista</b><br>Make a ranged spell attack$ originating from the cannon$ at one creature or object within 120 feet of it. On a hit$ the target takes 2d8 force damage$ and if the target is a creature$ it is pushed up to 5 feet away from the cannon.<br><b>Protector</b><br>The cannon emits a burst of positive energy that grants itself and each creature of your choice within 10 feet of it a number of temporary hit points equal to 1d8 + your Intelligence modifier (minimum of +1). ,,Artillerist Spell:At 5th level$ you learn the spells <i>scorching ray</i> and <i>shatter</i>.;Arcane Firearm:At 5th level$ you know how to turn a wand$ staff$ or rod into an arcane firearm$ a conduit for your destructive spells. When you finish a long rest$ you can use woodcarver's tools to carve special sigils into a wand$ staff$ or rod and thereby turn it into your arcane firearm. The sigils disappear from the object if you later carve them on a different item. The sigils otherwise last indefinitely.<br>You can use your arcane firearm as a spellcasting focus for your artificer spells. When you cast an artificer spell through the firearm$ roll a d8$ and you gain a bonus to one of the spell's damage rolls equal to the number rolled.,,,,Artillerist Spell:At 9th level$ you learn the spells <i>fireball</i> and <i>wind wall</i>.;Explosive Cannon:Starting at 9th level$ every eldritch cannon you create is more destructive~<ul><li>The cannon's damage rolls all increase by 1d8.</li><li>As an action$ you can command the cannon to detonate if you are within 60 feet of it. Doing so destroys the cannon and forces each creature within 20 feet of it to make a Dexterity saving throw against your spell save DC$ taking 3d8 force damage on a failed save or half as much damage on a successful one.</li>,,,,Artillerist Spell:At 13th level$ you learn the spells <i>ice storm</i> and <i>wall of fire</i>.,,Fortified Position:Starting at 15th level$ you're a master at forming well-defended emplacements using Eldritch Cannon~<ul><li>You and your allies have half cover while within 10 feet of a cannon you create with Eldritch Cannon$ as a result of a shimmering field of magical protection that the  cannon emits.</li><li>You can now have two cannons at the same time. You can create two with the same action (but not the same spell slot)$ and you can activate both of them with the same bonus action. You determine whether the cannons are identical to each other or different. You can't create a third cannon while you have two.</li></ul>,,Artillerist Spell:At 17th level$ you learn the spells <i>cone of cold</i> and <i>wall of force</i>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificer,Battle Smith,battle smith,,,Tool Proficiency:When you adopt this specialization at 3rd level$ you gain proficiency with smith's tools. If you already have this proficiency$ you gain proficiency with one other type of artisan's tools of your choice.;Battle Smith Spells:Starting at 3rd level$ you always have certain spells prepared after you reach particular levels in this class. These spells count as Battle Smith spells for you$ but they don't count against the number of Battle Smith spells you prepare.<br>At 3rd level$ you learn the spells <i>heroism</i> and <i>shield</i>.;Battle Ready:When you reach 3rd level$ your combat training and your experiments with magic have paid off in two ways~ You gain proficiency with martial weapons. When you attack with a magic weapon$ you can use your Intelligence modifier$ instead of Strength or Dexterity modifier$ for the attack and damage rolls.;Steel Defender:By 3rd level$ your tinkering has borne you a faithful companion$ a steel defender. It is friendly to you and your companions$ and it obeys your commands. See this creature's game statistics in the steel defender stat block. You determine the creature's appearance and whether it has two legs or four$ your choice has no effect on its game statistics.<br>In combat$ the steel defender shares your initiative count$ but it takes its turn immediately after yours.  It can move and use its reaction on its own$ but the only action it takes on its turn is the Dodge action$ unless you take a bonus action on your turn to command it to take one of the actions in its stat block or the Dash$ Disengage$ Help$ Hide$ or Search action.<br>If the <i>mending</i> spell is cast on it$ it regains 2d6 hit points. If it has died within the last hour$ you can use your smith's tools as an action to revive it$ provided you are within 5 feet of it and you expend a spell slot of 1st level or higher. The steel defender returns to life after 1 minute with all its hit points restored.<br>At the end of a long rest$ you can create a new steel defender if you have your smith's tools with you. If you already have a steel defender from this feature$ the first one immediately perishes.,,Battle Smith Spell:At 5th level$ you learn the spells <i>branding smite</i> and <i>warding bond</i>.;Extra Attack:Starting at 5th level$ you can attack twice$ rather than once$ whenever you take the Attack action on your turn.,,,,Battle Smith Spell:At 9th level$ you learn the spells <i>aura of vitality</i> and <i>conjure barrage</i>.;Arcane Jolt:At 9th level$ you learn new ways to channel arcane energy to harm or heal. When either you hit a target with a magic weapon attack or your steel defender hits a target$ you can channel magical energy through the strike to create one of the following effects~<ul><li>The target takes an extra 2d6 force damage.</li><li>Choose one creature or object you can see within 30 fe et of the target. Healing energy flows into the chosen recipient$ restoring 2d6 hit points to it.</li></ul>You can use this energy a number of times equal to your Intelligence modifier (minimum of once)$ but you can do so no more than once on a turn. You regain all expended uses when you finish a long rest.,,,,Battle Smith Spell:At 13th level$ you learn the spells <i>aura of purity</i> and <i>fire shield</i>.,,Improved Defender:At 15th level$ your Arcane jolt and steel defender become more powerful~<ul><li>The extra damage and the healing of your Arcane jolt both increase to 4d6.</li><li>Your steel defender gains a +2 bonus to Armor Class.</li><li>Whenever your steel defender uses its Deflect Attack$ the attacker takes force damage equal to 1d4 +your Intelligence modifier.</li></ul>,,Battle Smith Spell:At 17th level$ you learn the spells <i>banishing smite</i> and <i>mass cure wounds</i>.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian,Ancestral Guardian,ancestral guardian,,,Ancestral Guardian:Starting when you choose this path at 3rd level$ spectral warriors appear when you enter your rage. While you're raging$ the first creature you hit with an attack on your turn becomes the target of the warriors$ which hinder its attacks. Until the start of your next turn$ that target has disadvantage on any attack roll that isn't against you$ and when the target hits a creature other than you with an attack$ that creature has resistance to the damage of the target's attacks.,,,Spirit Shield:Beginning at 6th level$ the guardian spirits that aid you can provide supernatural protection to those you defend. If you are raging and a creature you can see within 30 feet of you takes damage$ you can use your reaction to reduce that damage by 2d6.,,,,Consult the Spirits:At 10th level$ you gain the ability to consult with your ancestral spirits. When you do so$ you cast the Augury or Clairvoyance spell$ without using a spell slot or material components. Rather than creating a spherical sensor$ this use of Clairvoyance invisibly summons one of your ancestral spirits to the chosen location. Wisdom is your spellcasting ability for these spells.<>After you cast either spell in this way$ you can't use this feature again until you finish a short or long rest.;Spirit Shield Improvement: You can reduce damage by 3d6 instead of 2d6.,,,,Vengeful Ancestors:At 14th level$ your ancestral spirits grow powerful enough to retaliate. When you use your Spirit Shield to reduce the damage of an attack$ the attacker takes an amount of force damage that your Spirit Shield prevents.;Spirit Shield Improvement: You can reduce damage by 4d6 instead of 3d6.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian,Battlerager,battlerager,Restriction$ Dwarves Only:Only dwarves can follow the Path of the Battlerager. The battlerager fills a particular niche in dwarven society and culture.<>Your DM can lift this restriction to better suit the campaign. The restriction exists for the Forgotten Realms. It might not apply to your DM's setting or your DM's version of the Realms.,,Battlerager Armor:When you choose this path at 3rd level$ you gain the ability to use spiked armor as a weapon.<>While you are wearing spiked armor and are raging$ you can use a bonus action to make one melee weapon attack with your armor spikes against a target within 5 feet of you. If the attack hits$ the spikes deal 1d4 piercing damage. You use your Strength modifier for the attack and damage rolls.<>Additionally$ when you use the Attack action to grapple a creature$ the target takes 3 piercing damage if your grapple check succeeds.,,,Reckless Abandon:Beginning at 6th level$ when you use Reckless Attack while raging$ you also gain temporary hit points equal to your Constitution modifier (minimum of 1). They vanish if any of them are left when your rage ends.,,,,Battlerager Charge:Beginning at 10th level$ you can take the Dash action as a bonus action while you are raging.,,,,Spiked Retribution:Starting at 14th level$ when a creature within 5 feet of you hits you with a melee attack$ the attacker takes 3 piercing damage if you are raging$ aren't incapacitated$ and are wearing spiked armor.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian,Beast (UA),beast,,,Form of the Beast:Starting when you choose this path at 3rd level$ when you enter your rage$ you can transform$ revealing the bestial power within you. Until your rage ends$ you manifest a natural melee weapon$ choosing one of the following options each time you rage:<><b>Bite.</b> Your mouth transforms into a bestial snout or great mandibles (your choice). Your bite deals 1d8 piercing damage on a hit. Once on each of your turns when you damage a creature with your bite$ you regain a number of hit points equal to your Constitution modifier (minimum of 1 hit point).<><b>Claws.</b> Your hands transform into claws$ which deal 1d6 slashing damage on a hit. When you take the Attack action on your turn and make an attack with your claws$ you can make one additional attack using your claws as part of the same action.<><b>Tail.</b> You grow a lashing$ spiny tail$ which deals 1d12 piercing damage on a hit and has the reach property.,,,Beastial Soul:Beginning at 6th level$ the feral spirit within you grows in power$ causing the natural weapons of your Form of the Beast to count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage.<>You can also call on the feral spirit to help you adapt to your surroundings. When you finish a short or long rest$ choose one of the following benefits$ which lasts until you finish a short or long rest.<ul><li>You gain a swimming speed equal to your walking speed$ and you can breathe underwater.</li><li>You gain a climbing speed equal to your walking speed$ and you can climb difficult surfaces$ including upside down on ceilings$ without needing to make an ability check.</li><li>When you jump$ you can make a Strength (Athletics) check and extend your jump by a number of feet equal to the check's total. You can make this special check only once per turn.</li></ul>,,,,Infectious Fury:At 10th level$ when you hit a creature with your natural weapons while you are raging$ the spirit within you can curse your target with rabid fury. The target must succeed on a Wisdom saving throw (DC equal to 8 + your Constitution modifier + your proficiency bonus) or suffer one of the following effects (your choice).<ul><li>The target must use its reaction to make a melee attack against another creature of your choice that you can see.</li><li>Target takes 2d12 psychic damage.</li></ul>You can use this feature a number of times equal to your Constitution modifier (a minimum of once). You regain all expended uses when you finish a long rest.,,,,Call the Hunt:At 14th level$ the beast within grows so powerful that you can spread its ferocity to your allies. When you enter your rage$ you can choose a number of willing creatures you can see within 30 feet of you equal to your Constitution modifier (minimum of one creature). Until your rage ends$ the chosen creatures gain the Reckless Attack feature and you have advantage on saving throws against being frightened. You also gain 5 temporary hit points for each creature that accepts the benefit.<>You can use this feature a number of times equal to your Constitution modifier (a minimum of once). You regain all expended uses when you finish a long rest.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian,Berserker,berserker,,,Frenzy:Starting when you choose this path at 3rd level$ you can go into a frenzy when you rage. If you do so$ for the duration of your rage you can make a single melee weapon attack as a bonus action on each of your turns after this one. When your rage ends$ you suffer one level of exhaustion,,,Mindless Rage:Beginning at 6th level$ you can't be charmed or frightened while raging. If you are charmed or frightened when you enter your rage$ the effect is suspended for the duration of the rage.,,,,Intimidating Presence:Beginning at 10th level$ you can use your action to frighten someone with your menacing presence. When you do so$ choose one creature that you can see within 30 feet of you. If the creature can see or hear you$ it must succeed on a Wisdom saving throw (DC equal to 8 +your proficiency bonus +your Charisma modifier) or be frightened of you until the end of your next turn. On subsequent turns$ you can use your action to extend the duration of this effect on the frightened creature until the end of your next turn. This effect ends if the creature ends its turn out of line of sight or more than 60 feet away from you. If the creature succeeds on its saving throw$ you can't use this feature on that creature again for 24 hours.,,,,Retaliation:Starting at 14th level$ when you take damage from a creature that is within 5 feet of you$ you can use your reaction to make a melee weapon attack against that creature. ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian,Depths,depths,,,Gift of the Drowned Ones:At 3rd level when you adopt this path$ you gain a swimming speed equal to your walking speed and gain the ability to breathe underwater.;Dredge Line:Starting when you choose this path at the 3rd level$ you manifest an extra appendage when you enter your rage. This weapon can appear as a kraken tentacle$ a giant anchor$ preternatural jaws$ or something else based on your history. As a bonus action$ you can use this appendage to strike at one creature of your choice that you can see within 15 feet. The target must succeed on a Strength saving throw (DC equal to 8 + your proficiency bonus + your Strength modifier) or be pulled up to 10 feet in a straight line towards you.,,,Ghostwater Dive:Beginning at 6th level$ you can burst into water then materialize somewhere else as an action. You magically teleport along with any equipment you are wearing or carrying$ up to 30 feet to an unoccupied space you can see. Before or after teleporting$ you can make one attack as part of your action. Moving in this way does not provoke opportunity attacks.,,,,Manifestations of the Deep:At 10th level$ you can manifest additional adaptations of the deep. Select one of the below adaptations you manifest$ during a long rest you may replace your chosen manifestation with a new option from this list.<ul><li><b>Eyes of the Deep</b>~ You gain the ability to use echolocation. When you do so$ you cast the true seeing spell$ without using a spell slot or material components. After you cast a spell in this way$ you can’t use this feature again until you finish a short or long rest.</li><li><b>Arms of the Deep</b>~ While raging$ you now manifest two magical appendages$ which may be tentacles$ chains and anchors$ animated rigging$ or another grasping arm of your choice. When you use your dredge line ability$ you can attempt a grapple with each of your appendages.</li><li><b>Heart of the Deep</b>~ Now on your turn$ you can use a bonus action to gain temporary hit points equal to 1d12 + your barbarian level. Once you use this feature$ you must finish a short or long rest before you can use it again.</li><li><b>Soul of the Deep</b>~ You are now immune to all effects that would cause you to be charmed or frightened.</li><li><b>Armor of the Deep</b>~ Your skin hardens increasing your Armor Class by 1.,,,,Depth Charge:At 14th level$ when you use your ghostwater dive ability$ you can choose to appear with a wave of tidal force. When you appear all creatures within 10 feet of you must make a Strength saving throw. On a failed save a creature takes 3d6 force damage and is knocked prone. On a successful save$ a creature takes half damage and is not knocked prone.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian,Storm Herald,storm herald,,,Storm Aura:When you select this path at 3rd level$ you emanate a stormy$ magical aura while you rage. The aura extends 10 feet from you in every direction$ but not through total cover.<>Your aura has an effect that activates when you enter your rage$ and you can activate the effect again on each of your turns as a bonus action. Choose desert$ sea$ or tundra. Your aura's effect depends on that chosen environment$ as detailed below. You can change your environment choice whenever you gain a level in this class.<>If your aura's effects require a saving throw$ the DC equals 8 + your proficiency bonus + your Constitution modifier.<><b>Desert.</b> When this effect is activated$ all other creatures in your aura take 2 fire damage each. The damage increases when you reach certain levels in this class$ increasing to 3 at 5th level$ 4 at 10th level$ 5 at 15th level$ and 6 at 20th level.<><b>Sea.</b> When this effect is activated$ you can choose one other creature you can see in your aura. The target must make a Dexterity saving throw. The target takes 1d6 lightning damage on a failed save$ or half as much damage on a successful one. The damage increases when you reach certain levels in this class$ increasing to 2d6 at 10th level$ 3d6 at 15th level$ and 4d6 at 20th level.<><b>Tundra.</b> When this effect is activated$ each creature of your choice in your aura gains 2 temporary hit points$ as icy spirits inure it to suffering. The temporary hit points increase when you reach certain levels in this class$ increasing to 3 at 5th level$ 4 at 10th level$ 5 at 15th level$ and 6 at 20th level.,,,Storm Soul:At 6th level$ the storm grants you benefits even when your aura isn't active. The benefits are based on the environment you chose for your Storm Aura.<><b>Desert.</b> You gain resistance to fire damage$ and you don't suffer the effects of extreme heat$ as described in the Dungeon Master's Guide. Moreover$ as an action$ you can touch a flammable object that isn't being worn or carried by anyone else and set it on fire.<><b>Sea.</b> You gain resistance to lightning damage$ and you can breathe underwater. You also gain a swimming speed of 30 feet.<><b>Tundra.</b> You gain resistance to cold damage$ and you don't suffer the effects of extreme cold$ as described in the Dungeon Master's Guide. Moreover$ as an action$ you can touch water and turn a 5-foot cube of it into ice$ which melts after 1 minute. This action fails if a creature is in the cube.,,,,Shielding Storm:At 10th level$ you learn to use your mastery of the storm to protect others. Each creature of your choice has the damage resistance you gained from the Storm Soul feature while the creature is in your Storm Aura.,,,,Raging Storm:At 14th level$ the power of the storm you channel grows mightier$ lashing out at your foes. The effect is based on the environment you chose for your Storm Aura.<><b>Desert.</b> Immediately after a creature in your aura hits you with an attack$ you can use your reaction to force that creature to make a Dexterity saving throw. On a failed save$ the creature takes fire damage equal to your Barbarian level.<><b>Sea.</b> When you hit a creature in your aura with an attack$ you can use your reaction to force that creature to make a Strength saving throw. On a failed save$ the creature is knocked prone$ as if struck by a wave.<><b>Tundra.</b> Whenever the effect of your Storm Aura is activated$ you can choose one creature you can see in the aura. That creature must succeed on a Strength saving throw$ or its speed is reduced to 0 until the start of your next turn$ as magical frost covers it.,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
